value,anomaly,year,month,day,hour,minute,daylight,day_of_week,weekday,time_epoch
73.27195908,0,2013,12,10,1,0,0,1,1,13866372
73.90958789,0,2013,12,10,2,0,0,1,1,13866408
74.12705890000002,0,2013,12,10,3,0,0,1,1,13866444
73.64989009,0,2013,12,10,4,0,0,1,1,13866480
73.12019765,0,2013,12,10,5,0,0,1,1,13866516
72.94981371,0,2013,12,10,6,0,0,1,1,13866552
72.63017091,0,2013,12,10,7,0,1,1,1,13866588
72.71613838,0,2013,12,10,8,0,1,1,1,13866624
72.71722481,0,2013,12,10,9,0,1,1,1,13866660
73.73304064,0,2013,12,10,10,0,1,1,1,13866696
72.67712283,0,2013,12,10,11,0,1,1,1,13866732
73.64547544,0,2013,12,10,12,0,1,1,1,13866768
72.30699831,0,2013,12,10,13,0,1,1,1,13866804
72.64327782,0,2013,12,10,14,0,1,1,1,13866840
72.70649962,0,2013,12,10,15,0,1,1,1,13866876
74.00551,0,2013,12,10,16,0,1,1,1,13866912
73.59150747,0,2013,12,10,17,0,1,1,1,13866948
74.36327747,0,2013,12,10,18,0,1,1,1,13866984
73.43398151,0,2013,12,10,19,0,1,1,1,13867020
73.34037954,0,2013,12,10,20,0,1,1,1,13867056
72.49370372,0,2013,12,10,21,0,1,1,1,13867092
73.36328308,0,2013,12,10,22,0,1,1,1,13867128
73.75270216,0,2013,12,10,23,0,0,1,1,13867164
74.07760056,0,2013,12,11,0,0,0,2,1,13867200
74.13267133,0,2013,12,11,1,0,0,2,1,13867236
73.55944399,0,2013,12,11,2,0,0,2,1,13867272
72.82256754,0,2013,12,11,3,0,0,2,1,13867308
72.55823579,0,2013,12,11,4,0,0,2,1,13867344
72.94645319,0,2013,12,11,5,0,0,2,1,13867380
73.85665686,0,2013,12,11,6,0,0,2,1,13867416
72.43060965,0,2013,12,11,7,0,1,2,1,13867452
73.64939159,0,2013,12,11,8,0,1,2,1,13867488
72.18117166,0,2013,12,11,9,0,1,2,1,13867524
72.68621701,0,2013,12,11,10,0,1,2,1,13867560
73.38138872,0,2013,12,11,11,0,1,2,1,13867596
72.59355339,0,2013,12,11,12,0,1,2,1,13867632
73.08965494,0,2013,12,11,13,0,1,2,1,13867668
72.15235240000001,0,2013,12,11,14,0,1,2,1,13867704
74.58666641,0,2013,12,11,15,0,1,2,1,13867740
75.02738785,0,2013,12,11,16,0,1,2,1,13867776
74.62411392,0,2013,12,11,17,0,1,2,1,13867812
75.34149751,0,2013,12,11,18,0,1,2,1,13867848
75.31820223,0,2013,12,11,19,0,1,2,1,13867884
74.99496694,0,2013,12,11,20,0,1,2,1,13867920
75.14356488,0,2013,12,11,21,0,1,2,1,13867956
75.35414616,0,2013,12,11,22,0,1,2,1,13867992
75.60743795,0,2013,12,11,23,0,0,2,1,13868028
75.11999997,0,2013,12,12,0,0,0,3,1,13868064
74.84177433,0,2013,12,12,1,0,0,3,1,13868100
75.34780841,0,2013,12,12,2,0,0,3,1,13868136
74.96166134,0,2013,12,12,3,0,0,3,1,13868172
76.02028875,0,2013,12,12,4,0,0,3,1,13868208
74.99070572,0,2013,12,12,5,0,0,3,1,13868244
74.54696679,0,2013,12,12,6,0,0,3,1,13868280
75.24551555,0,2013,12,12,7,0,1,3,1,13868316
74.58234736,0,2013,12,12,8,0,1,3,1,13868352
73.27790479,0,2013,12,12,9,0,1,3,1,13868388
73.75848662,0,2013,12,12,10,0,1,3,1,13868424
73.72426779,0,2013,12,12,11,0,1,3,1,13868460
73.40027014,0,2013,12,12,12,0,1,3,1,13868496
74.42141665,0,2013,12,12,13,0,1,3,1,13868532
74.09206973,0,2013,12,12,14,0,1,3,1,13868568
76.13283725,0,2013,12,12,15,0,1,3,1,13868604
76.27032048,0,2013,12,12,16,0,1,3,1,13868640
